Format Version,1.23,Take Name,Take 2024-09-30 02.17.04 PM_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-09-30 02.32.39.992 PM,Total Frames in Take,48493,Total Exported Frames,48493,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B
,ID,"C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.027551,0.814815,0.003869,-0.579053,0.003245,0.003774,-0.065602,0.000613
1,0.002778,0.027627,0.814790,0.004027,-0.579083,0.003008,0.003736,-0.065736,0.000613
2,0.005556,0.027628,0.814769,0.004189,-0.579113,0.002862,0.003702,-0.065948,0.000617
3,0.008333,0.027616,0.814752,0.004277,-0.579135,0.002801,0.003675,-0.066077,0.000638
4,0.011111,0.027661,0.814736,0.004349,-0.579156,0.002680,0.003655,-0.066131,0.000629
5,0.013889,0.027688,0.814727,0.004433,-0.579166,0.002571,0.003638,-0.066215,0.000630
6,0.016667,0.027719,0.814719,0.004456,-0.579176,0.002511,0.003623,-0.066214,0.000624
7,0.019444,0.027715,0.814708,0.004518,-0.579191,0.002461,0.003609,-0.066301,0.000605
8,0.022222,0.027781,0.814691,0.004590,-0.579211,0.002313,0.003598,-0.066334,0.000603
9,0.025000,0.027778,0.814679,0.004644,-0.579228,0.002269,0.003589,-0.066409,0.000629
10,0.027778,0.027783,0.814667,0.004664,-0.579245,0.002246,0.003584,-0.066433,0.000631
11,0.030556,0.027765,0.814676,0.004622,-0.579233,0.002306,0.003579,-0.066395,0.000623
12,0.033333,0.027763,0.814665,0.004659,-0.579248,0.002273,0.003573,-0.066444,0.000605
13,0.036111,0.027747,0.814657,0.004650,-0.579260,0.002304,0.003570,-0.066445,0.000623
14,0.038889,0.028520,0.815207,0.007199,-0.578422,-0.001109,0.003563,-0.068961,0.001960
15,0.041667,,,,,,,,
16,0.044444,0.031272,0.817212,0.016141,-0.575262,-0.013164,0.003593,-0.077738,0.000619
17,0.047222,0.030575,0.816759,0.013902,-0.576001,-0.010141,0.003599,-0.075545,0.000609
