Format Version,1.23,Take Name,Take 2024-09-30 02.17.04 PM_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-09-30 02.27.27.419 PM,Total Frames in Take,23631,Total Exported Frames,23631,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B
,ID,"C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
53,0.147222,0.025112,0.810391,-0.002397,-0.585346,0.010866,0.004444,-0.056760,0.000841
54,0.150000,,,,,,,,
55,0.152778,0.025518,0.810354,-0.001037,-0.585384,0.009114,0.004266,-0.058101,0.000837
56,0.155556,0.025868,0.810327,0.000108,-0.585407,0.007631,0.004116,-0.059227,0.000827
57,0.158333,0.024929,0.810573,-0.003174,-0.585099,0.011785,0.004538,-0.055903,0.001308
58,0.161111,0.025353,0.810335,-0.001649,-0.585416,0.009881,0.004343,-0.057493,0.000585
59,0.163889,0.024416,0.810542,-0.004815,-0.585152,0.013938,0.004758,-0.054318,0.001302
60,0.166667,0.024864,0.810479,-0.003225,-0.585231,0.011930,0.004546,-0.055921,0.000829
61,0.169444,0.025323,0.810247,-0.001740,-0.585539,0.010014,0.004353,-0.057425,0.000571
62,0.172222,,,,,,,,
63,0.175000,0.024420,0.810478,-0.004812,-0.585240,0.013937,0.004751,-0.054333,0.001314
64,0.177778,0.023624,0.810656,-0.007669,-0.584996,0.017536,0.005122,-0.051417,0.001293
65,0.180556,0.022908,0.810817,-0.010089,-0.584765,0.020635,0.005441,-0.048986,0.001314
66,0.183333,0.022316,0.810948,-0.012136,-0.584567,0.023238,0.005708,-0.046915,0.001339
67,0.186111,0.021817,0.811059,-0.013816,-0.584394,0.025387,0.005925,-0.045227,0.001315
68,0.188889,,,,,,,,
69,0.191667,0.021341,0.811135,-0.015375,-0.584268,0.027404,0.006132,-0.043681,0.001311
70,0.194444,0.020960,0.811203,-0.016633,-0.584153,0.029028,0.006293,-0.042425,0.001318
71,0.197222,0.021938,0.811081,-0.013385,-0.584369,0.024843,0.005870,-0.045654,0.000840
72,0.200000,0.022790,0.810779,-0.010443,-0.584815,0.021113,0.005491,-0.048658,0.000603
73,0.202778,0.023482,0.810691,-0.007989,-0.584949,0.018009,0.005171,-0.051137,0.000850
74,0.205556,0.022817,0.810828,-0.010253,-0.584750,0.020904,0.005467,-0.048856,0.001312
75,0.208333,0.023573,0.810569,-0.007729,-0.585117,0.017672,0.005144,-0.051411,0.000602
76,0.211111,0.024186,0.810516,-0.005611,-0.585191,0.014968,0.004869,-0.053529,0.000837
77,0.213889,0.024687,0.810456,-0.003782,-0.585267,0.012670,0.004634,-0.055387,0.000849
78,0.216667,0.025122,0.810403,-0.002287,-0.585329,0.010760,0.004432,-0.056879,0.000860
79,0.219444,0.024269,0.810603,-0.005307,-0.585068,0.014574,0.004822,-0.053812,0.001305
80,0.222222,,,,,,,,
81,0.225000,0.023473,0.810754,-0.007894,-0.584863,0.017931,0.005156,-0.051245,0.001321
82,0.227778,0.024060,0.810664,-0.005819,-0.584988,0.015304,0.004885,-0.053340,0.000848
83,0.230556,0.023310,0.810824,-0.008404,-0.584765,0.018595,0.005223,-0.050734,0.001309
84,0.233333,0.023924,0.810738,-0.006271,-0.584887,0.015882,0.004940,-0.052881,0.000832
85,0.236111,,,,,,,,
86,0.238889,0.024519,0.810475,-0.004303,-0.585244,0.013354,0.004687,-0.054879,0.000597
87,0.241667,0.023711,0.810643,-0.007044,-0.585018,0.016862,0.005043,-0.052127,0.001293
88,0.244444,0.023008,0.810799,-0.009370,-0.584797,0.019855,0.005345,-0.049808,0.001309
89,0.247222,0.022463,0.810929,-0.011395,-0.584602,0.022378,0.005604,-0.047722,0.001343
90,0.250000,0.023248,0.810820,-0.008804,-0.584767,0.019035,0.005274,-0.050290,0.000815
91,0.252778,0.022615,0.810920,-0.010988,-0.584616,0.021818,0.005563,-0.048091,0.001316
92,0.255556,0.022077,0.811041,-0.012842,-0.584431,0.024178,0.005806,-0.046217,0.001337
93,0.258333,0.021598,0.811118,-0.014501,-0.584304,0.026294,0.006024,-0.044544,0.001333
94,0.261111,0.022483,0.810990,-0.011497,-0.584514,0.022448,0.005632,-0.047549,0.000841
95,0.263889,,,,,,,,
96,0.266667,,,,,,,,
97,0.269444,0.023929,0.810781,-0.006585,-0.584824,0.016159,0.004996,-0.052462,0.000837
98,0.272222,0.023220,0.810896,-0.009048,-0.584660,0.019293,0.005317,-0.049981,0.001323
99,0.275000,0.022635,0.811008,-0.011014,-0.584494,0.021812,0.005563,-0.048014,0.001340
100,0.277778,0.023408,0.810894,-0.008436,-0.584663,0.018494,0.005235,-0.050585,0.000840
101,0.280556,0.022818,0.811018,-0.010494,-0.584482,0.021102,0.005495,-0.048501,0.001352
102,0.283333,,,,,,,,
103,0.286111,0.022233,0.811085,-0.012427,-0.584374,0.023598,0.005749,-0.046583,0.001299
104,0.288889,0.021744,0.811155,-0.014075,-0.584258,0.025710,0.005964,-0.044933,0.001329
105,0.291667,0.022607,0.811016,-0.011076,-0.584481,0.021898,0.005575,-0.047957,0.000852
106,0.294444,0.023344,0.810897,-0.008489,-0.584661,0.018617,0.005237,-0.050568,0.000836
107,0.297222,0.022763,0.811005,-0.010601,-0.584500,0.021266,0.005512,-0.048415,0.001307
108,0.300000,0.023495,0.810883,-0.008032,-0.584681,0.018011,0.005182,-0.051012,0.000851
109,0.302778,,,,,,,,
110,0.305556,0.024165,0.810769,-0.005823,-0.584838,0.015158,0.004901,-0.053209,0.000836
111,0.308333,0.023480,0.810894,-0.008273,-0.584663,0.018248,0.005218,-0.050724,0.001306
112,0.311111,0.022851,0.811009,-0.010514,-0.584493,0.021076,0.005510,-0.048449,0.001321
113,0.313889,0.023600,0.810705,-0.007881,-0.584926,0.017755,0.005173,-0.051161,0.000592
