Wall time,Step,Value
1736852063.7968264,3104,218.4425506591797
1736852112.813703,3136,217.20046997070312
1736852162.1824834,3168,251.74862670898438
1736852210.6007152,3200,253.12954711914062
1736852258.5348012,3232,240.21009826660156
1736852306.2933939,3264,235.31085205078125
1736852354.1254592,3296,238.1895294189453
1736852402.9592118,3328,225.61895751953125
1736852451.2460804,3360,233.04241943359375
1736852499.298187,3392,215.6533966064453
1736852547.3893564,3424,222.21311950683594
1736852594.8655694,3456,230.35147094726562
1736852643.2998545,3488,274.6889953613281
1736852691.3340297,3520,247.56175231933594
1736852738.8948586,3552,231.7340545654297
1736852786.4177334,3584,253.1699981689453
1736852833.942161,3616,272.8143615722656
1736852882.95365,3648,270.5731506347656
1736852931.184078,3680,268.7124328613281
1736852979.0094075,3712,268.9303894042969
1736853026.1834347,3744,264.1162414550781
1736853074.768298,3776,254.05630493164062
1736853122.7675922,3808,290.944091796875
1736853170.3316252,3840,261.65936279296875
1736853217.62329,3872,247.33445739746094
1736853265.8138626,3904,275.4321594238281
1736853314.0929587,3936,296.1685485839844
1736853361.5262127,3968,275.24322509765625
1736853408.7831342,4000,265.08587646484375
1736853456.2511792,4032,283.7511901855469
1736853504.3749442,4064,279.9779052734375
1736853552.677291,4096,279.5528259277344
1736853600.592787,4128,266.81719970703125
1736853648.1233573,4160,254.5386505126953
1736853696.3033984,4192,270.55963134765625
1736853744.8896334,4224,254.3335723876953
1736853792.803045,4256,243.17625427246094
1736853840.4384859,4288,242.6637725830078
1736853888.7647007,4320,272.881103515625
1736853936.2069225,4352,241.93499755859375
1736853983.4782317,4384,235.5439453125
1736854030.4859588,4416,235.11257934570312
1736854078.7321692,4448,208.79087829589844
1736854126.6786704,4480,241.88436889648438
1736854173.9206145,4512,260.0472717285156
1736854222.0261147,4544,285.25103759765625
1736854269.6072724,4576,270.00274658203125
1736854316.2471008,4608,277.2239074707031
1736854363.858644,4640,254.28994750976562
1736854410.8923209,4672,248.47984313964844
1736854458.1782374,4704,254.56724548339844
1736854505.728219,4736,230.54794311523438
1736854553.565824,4768,240.7954559326172
1736854600.956485,4800,276.4794921875
1736854647.888138,4832,282.7532653808594
1736854691.9456623,4864,275.8948974609375
1736854736.6956844,4896,251.14950561523438
1736854780.6631904,4928,294.01434326171875
1736854826.1330318,4960,308.11846923828125
1736854870.3270974,4992,274.44281005859375
1736854916.0412726,5024,280.0570983886719
1736854960.6386464,5056,282.5580139160156
1736855005.2462003,5088,234.7592010498047
1736855048.959207,5120,302.25946044921875
1736855094.934554,5152,284.8109436035156
1736855139.8829908,5184,270.2506103515625
1736855186.7127852,5216,276.9674377441406
1736855232.2953644,5248,286.2507019042969
1736855282.1789563,5280,244.26158142089844
1736855328.899585,5312,289.83673095703125
1736855375.6085966,5344,283.97186279296875
1736855421.3068006,5376,280.9852600097656
1736855468.092517,5408,253.9875946044922
1736855514.445869,5440,262.60430908203125
1736855560.2170007,5472,253.53335571289062
1736855607.4217608,5504,229.38851928710938
1736855653.155753,5536,279.3179016113281
1736855699.363393,5568,275.69500732421875
1736855745.8695447,5600,333.2908020019531
1736855793.097854,5632,280.8023376464844
1736855836.7717047,5664,266.15899658203125
1736855874.1586754,5696,290.5989990234375
1736855910.9876473,5728,269.17279052734375
1736855947.4458723,5760,296.71075439453125
1736855984.5294156,5792,287.80316162109375
1736856021.666092,5824,240.8717041015625
1736856060.665302,5856,261.99395751953125
1736856103.1333487,5888,289.64727783203125
1736856140.578379,5920,244.64846801757812
1736856179.244267,5952,256.0000305175781
1736856217.3288445,5984,260.7939147949219
1736856254.435797,6016,261.9783630371094
1736856292.383046,6048,258.2215576171875
1736856328.73829,6080,284.9615783691406
1736856365.4747086,6112,254.3803253173828
1736856402.4844255,6144,264.2182312011719
1736856440.806529,6176,265.86871337890625
1736856478.50672,6208,254.90444946289062
1736856515.9546373,6240,264.2782287597656
1736856552.8022492,6272,287.6831359863281
1736856590.0908074,6304,278.754638671875
1736856627.9402316,6336,285.441162109375
1736856665.4389944,6368,277.7028503417969
1736856703.8869922,6400,262.57763671875
1736856740.9921377,6432,277.9955749511719
1736856779.233446,6464,272.09912109375
1736856817.2518349,6496,340.9407958984375
1736856854.571897,6528,240.96377563476562
1736856892.0397835,6560,277.4822082519531
1736856929.5872471,6592,277.6936340332031
1736856966.8785508,6624,248.99127197265625
1736857004.2764387,6656,270.8796081542969
1736857042.5781915,6688,259.3681335449219
1736857081.3262625,6720,290.4429626464844
1736857119.5104365,6752,271.060302734375
1736857157.9202158,6784,266.35430908203125
1736857196.6325235,6816,256.9978332519531
1736857234.1801682,6848,286.558837890625
1736857272.601131,6880,281.5716857910156
1736857315.792105,6912,259.1490783691406
1736857354.1051247,6944,251.55264282226562
1736857391.408982,6976,242.8175048828125
1736857432.3030424,7008,258.3172607421875
1736857470.8353221,7040,251.8779296875
1736857511.3695226,7072,246.8007049560547
1736857551.6644716,7104,258.6708068847656
1736857591.9381235,7136,251.83180236816406
1736857632.1885018,7168,261.9018859863281
1736857672.3868537,7200,271.99029541015625
