Wall time,Step,Value
1736847343.859617,0,8.018759727478027
1736847393.7409298,32,6.830144882202148
1736847445.526079,64,6.7190752029418945
1736847495.9016845,96,6.169280529022217
1736847547.7546852,128,7.662023544311523
1736847599.3915062,160,5.659786224365234
1736847650.5741253,192,7.678343296051025
1736847701.8916187,224,6.681541919708252
1736847752.3658633,256,6.974039077758789
1736847802.2344081,288,8.659113883972168
1736847852.3284664,320,5.620676517486572
1736847902.0451365,352,6.723776817321777
1736847951.5266244,384,6.108537673950195
1736847999.9625342,416,7.686035633087158
1736848049.5324755,448,5.750816345214844
1736848098.065032,480,7.5515522956848145
1736848146.9412293,512,6.339539527893066
1736848197.9949439,544,6.983218193054199
1736848246.7140348,576,7.333468914031982
1736848295.4901545,608,6.087618350982666
1736848343.9051456,640,5.891812324523926
1736848391.9693263,672,6.440186023712158
1736848440.417778,704,9.986213684082031
1736848488.1119432,736,7.839839458465576
1736848537.2702448,768,7.215274810791016
1736848586.868609,800,6.482359409332275
1736848635.7764978,832,7.253874778747559
1736848685.7016547,864,8.98289966583252
1736848735.4510758,896,7.560871601104736
1736848783.7123513,928,7.131430149078369
1736848831.7018974,960,7.036834716796875
1736848880.486221,992,7.772689342498779
1736848928.7169235,1024,8.60556411743164
1736848977.3670208,1056,9.942825317382812
1736849021.8083165,1088,6.441764831542969
1736849070.2221384,1120,6.452366352081299
1736849119.4607582,1152,9.056909561157227
1736849167.2199504,1184,6.661456108093262
1736849216.720045,1216,6.801428318023682
1736849265.1810071,1248,9.123029708862305
1736849313.1980016,1280,7.496476650238037
1736849361.8640854,1312,7.886867523193359
1736849410.1677132,1344,7.792721271514893
1736849458.9488418,1376,6.745785236358643
1736849507.1382318,1408,9.720110893249512
1736849555.3192723,1440,8.01262378692627
1736849604.324213,1472,9.052024841308594
1736849654.2377746,1504,9.031417846679688
1736849699.9426973,1536,7.630980968475342
1736849745.9821806,1568,6.404143810272217
1736849795.393594,1600,8.078374862670898
1736849843.3096092,1632,9.299196243286133
1736849891.7170055,1664,9.162347793579102
1736849940.9508846,1696,8.1897611618042
1736849990.3358393,1728,7.7685160636901855
1736850039.4463608,1760,9.184615135192871
1736850087.2012215,1792,8.075871467590332
1736850135.3582127,1824,8.044222831726074
1736850183.5370123,1856,8.35719108581543
1736850231.765142,1888,8.512388229370117
1736850280.3997195,1920,9.036090850830078
1736850328.7995667,1952,9.746684074401855
1736850377.0598648,1984,10.054036140441895
1736850424.6237185,2016,7.982951641082764
1736850472.7456007,2048,8.433247566223145
